S.NO,District,Type of Local Body,Local Body,Veterinary Hospitals
63,Salem,PU,Omalur,Omalur
64,Salem,PU,Veerapandi,Veerapandi
65,Salem,PU,Yercaud,Yercaud
66,Sivagangai,M,Sivagangai,Sivagangai
67,Sivagangai,TP,Thirupathur,Thirupathur
68,Thanjavur,PU,Ammapettai,Milathur
69,Thanjavur,PU,Orathanad,Orathanad
70,Thanjavur,PU,Orathanad,Pappanadu
71,Thanjavur,M,Pattukottai,Pattukottai
72,Thanjavur,PU,Peravoorani,Peravoorani
73,Thanjavur,PU,Thiruvaiyaru,Thiruvaiyaru
74,Theni,M,Theni,Allinagaram
75,Theni,M,Bodinaickanur,Bodinaickanur
76,Theni,M,Periyakulam,Periakulam
77,The Nilgiris,PU,Coonoor,Coonoor
78,The Nilgiris,PU,Gudalur,Gudalur
79,Thiruppur,M,Dharapuram,Dharapuram
80,Thiruppur,PU,Kangayam,Kangayam
81,Thiruppur,PU,Vellakovil,Muthoor
82,Thiruppur,PU,Kundadam,Pettaikalipalayam
83,Thiruppur,PU,Pongalur,Pongalur
84,Thiruppur,M,Thiruppur,Thiruppur
85,Thiruppur,M,Udumalaipettai,Udumalaipettai
86,Thiruvallur,PU,Villivakkam,Ambattur
87,Thiruvallur,PU,Minjur,Minjur
88,Thiruvallur,PU,Minjur,Ponneri
89,Thiruvallur,M,Poonamallee,Poonamallee
90,Thiruvallur,M,Thiruvallur,Thiruvallur
91,Thiruvannamalai,PU,Arani,Arani
92,Thiruvannamalai,PU,Cheyyar,Cheyyar
93,Thiruvannamalai,PU,Polur,Polur
94,Thiruvannamalai,PU,Vandavasi,Vandavasi
95,Thiruvannamalai,PU,Kilpennathur,Vettavalam
96,Thiruvarur,PU,Valangaiman,Arithuvaramangalam
97,Thiruvarur,PU,Needamangalam,Edamalaiyur
98,Thiruvarur,PU,Koradacheri,Koradacheri
99,Thiruvarur,PU,Kudavasal,Kudavasal
100,Thiruvarur,M,Mannargudi,Mannargudi
101,Thiruvarur,M,Thiruthuraipoondi,Thiruthuraipoondi
102,Thiruvarur,PU,Valangaiman,Valangaiman
103,Thoothukudi,M,Kovilpatti,Kovilpatti
104,Thoothukudi,PU,Srivaikundam,Srivaikundam
105,Tiruchirappalli,PU,Thottium,Kattuputhur
106,Tiruchirappalli,PU,Lalgudi,Lalgudi
107,Tiruchirappalli,M,Manapparai,Manaparai
108,Tiruchirappalli,PU,Pullambadi,Pullambadi
109,Tiruchirappalli,PU,Thiruverumbur,Thiruverumbur
110,Tiruchirappalli,M,Thuraiyur,Thuraiyur
111,Tiruchirappalli,PU,Marungapuri,Thuvarankurichi
112,Tiruchirappalli,PU,Vaiyampatti,Vaiyampatti
113,Tirunlveli,PU,Cheranmadevi,Cheranmahadevi
114,Tirunlveli,C,Tirunelveli,Palayamkottai
115,Tirunlveli,M,Sankarankoil,Sankarankoil
116,Tirunlveli,M,Senkottai,Senkottai
117,Tirunlveli,PU,Vasudevanallur, 
118,Tirunlveli,PU,Valliyur,Valliyur
119,Tirunlveli,PU,Cheranmadevi,Veeravanallur
120,Vellore,M,Gudiyatham,Gudiyatham
121,Vellore,M,Gudiyatham,Kalliyoor
122,Vellore,M,Katpadi,Katpadi
123,Vellore,PU,K.V. Kuppam,K.V. Kuppam
124,Vellore,M,Ranipet,Ranipet
125,Vellore,M,Thirupathur,Thirupathur
126,Vellore,M,Vaniambadi,Vaniambadi
127,Vellore,M,Walajapet,Walajapet
128,Villupuram,PU,Melmalaiyanur,Devanur
129,Villupuram,PU,Ginjee,Ginjee
130,Villupuram,PU,Thirukoilur,Thirukoilur
131,Villupuram,PU,Thiyagadurgam,Thiyagadurgam
132,Villupuram,PU,Thiruvannainallur,Thiruvannainallur
133,Villupuram,PU,Vallam,Vallam
134,Villupuram,M,Villupuram,Villupuram
135,Virudhunagar,PU,Aruppukottai,Aruppukottai
136,Virudhunagar,M,Rajapalayam,Rajapalayam
137,Virudhunagar,PU,Sattur,Sattur
138,Virudhunagar,M,Sivakasi,Sivakasi
139,Virudhunagar,PU,Virudhunagar,Virudhunagar
